#IDTier|IDVater|IDMutter|Birthdate|Geschlecht|PLZ|introg|inb_gen|cryo
997535439|997415332|997465702|1989-04-15|M|3938|0|NA|0
997774809|997406925|997559253|1990-05-05|M|3920|0|NA|0
997953372|997535439|997534216|1990-08-31|F|1860|0|NA|0
997438624|997535439|997956044|1991-09-16|F|1860|0|NA|0
997959197|997774809|997436514|1991-10-26|F|3920|0|NA|0
997959200|997774809|997412704|1991-10-28|F|3920|0|NA|0
997958313|997774809|997453694|1991-11-24|F|3920|0|NA|0
997961951|997774809|997559253|1991-12-20|F|3920|0|NA|0
997977775|997535439|997410946|1992-02-27|F|1884|0|NA|0
998002894|997535439|997530966|1992-05-15|F|1860|0|NA|0
998003890|997774809|997704659|1992-05-18|F|3920|0|NA|0
998003889|997774809|997412704|1992-05-18|F|3920|0|NA|0
1000810031|1000050624|999205150|2013-03-09|F|3920|0|NA|0
999870937|1000161006|999289616|2013-03-20|F|3942|0|NA|0
1000050624|999304841|999044312|2013-05-02|M|3904|0|NA|0
1000161006|999257452|999248160|2013-10-08|M|3942|0|NA|0
